2019-01-23 15:47:00.583 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gezhi.springboot.sysmag.service.impl.LoginServiceImplTest], using SpringBootContextLoader
2019-01-23 15:47:00.698 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.gezhi.springboot.sysmag.service.impl.LoginServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-23 15:47:01.674 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-01-23 15:47:01.906 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@38467116, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b7a7f33, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@790da477, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5c7933ad, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57bc27f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5fb759d6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b8d604b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5e7cd6cc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@68c9d179, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@d554c5f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2dfaea86, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@15888343]
2019-01-23 15:49:03.580 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gezhi.springboot.sysmag.service.impl.LoginServiceImplTest], using SpringBootContextLoader
2019-01-23 15:49:03.623 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.gezhi.springboot.sysmag.service.impl.LoginServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-23 15:49:04.119 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-01-23 15:49:04.373 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2ea6137, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@41ee392b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1e67a849, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@57d5872c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@667a738, org.springframework.test.context.transaction.TransactionalTestExecutionListener@36f0f1be, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@157632c9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6ee12bac, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@55040f2f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@64c87930, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@400cff1a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@275710fc]
2019-01-23 15:53:49.318 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gezhi.springboot.sysmag.service.impl.LoginServiceImplTest], using SpringBootContextLoader
2019-01-23 15:53:49.353 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.gezhi.springboot.sysmag.service.impl.LoginServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-23 15:53:49.674 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
